id,name,link,submit_link,submitted_solutions,accuracy,status_link,difficulty
0,Chef and IPC Certificates,https://www.codechef.com/problems/IPCCERT,https://www.codechef.com/submit/IPCCERT,454,61.06,https://www.codechef.com/status/IPCCERT,beginner
1,Ada and Dishes,https://www.codechef.com/problems/ADADISH,https://www.codechef.com/submit/ADADISH,1104,41.43,https://www.codechef.com/status/ADADISH,beginner
2,The One Who Knocks ,https://www.codechef.com/problems/EOOPR,https://www.codechef.com/submit/EOOPR,1272,26.85,https://www.codechef.com/status/EOOPR,beginner
3,Chef and Easy Queries,https://www.codechef.com/problems/CHEFEZQ,https://www.codechef.com/submit/CHEFEZQ,1478,15.87,https://www.codechef.com/status/CHEFEZQ,beginner
4,Covid Run,https://www.codechef.com/problems/CVDRUN,https://www.codechef.com/submit/CVDRUN,2128,29.98,https://www.codechef.com/status/CVDRUN,beginner
5,BST Operations,https://www.codechef.com/problems/BSTOPS,https://www.codechef.com/submit/BSTOPS,2220,18.55,https://www.codechef.com/status/BSTOPS,beginner
6,Rupsa and the Game,https://www.codechef.com/problems/RGAME,https://www.codechef.com/submit/RGAME,2221,16.03,https://www.codechef.com/status/RGAME,beginner
7,Spam Classification Using Neural Net,https://www.codechef.com/problems/SPAMCLAS,https://www.codechef.com/submit/SPAMCLAS,2222,19.62,https://www.codechef.com/status/SPAMCLAS,beginner
8,Chef and Way,https://www.codechef.com/problems/CHRL4,https://www.codechef.com/submit/CHRL4,2223,7.77,https://www.codechef.com/status/CHRL4,beginner
9,Chef and Interesting Subsequences ,https://www.codechef.com/problems/CHEFINSQ,https://www.codechef.com/submit/CHEFINSQ,2252,16.29,https://www.codechef.com/status/CHEFINSQ,beginner
10,UEFA Champions League,https://www.codechef.com/problems/UCL,https://www.codechef.com/submit/UCL,2273,34.86,https://www.codechef.com/status/UCL,beginner
11,The Promised Land,https://www.codechef.com/problems/ISHVALA,https://www.codechef.com/submit/ISHVALA,2277,33.03,https://www.codechef.com/status/ISHVALA,beginner
12,Chef and Polygon Cakes,https://www.codechef.com/problems/PCJ18C,https://www.codechef.com/submit/PCJ18C,2279,27.22,https://www.codechef.com/status/PCJ18C,beginner
13,Extreme Encoding,https://www.codechef.com/problems/KOL16B,https://www.codechef.com/submit/KOL16B,2282,34.33,https://www.codechef.com/status/KOL16B,beginner
14,Full Barrier Alchemist,https://www.codechef.com/problems/PIPSQUIK,https://www.codechef.com/submit/PIPSQUIK,2312,30.37,https://www.codechef.com/status/PIPSQUIK,beginner
15,Sebi and the highway,https://www.codechef.com/problems/SEBIHWY,https://www.codechef.com/submit/SEBIHWY,2313,25.27,https://www.codechef.com/status/SEBIHWY,beginner
16,Smart Strategy,https://www.codechef.com/problems/SMRSTR,https://www.codechef.com/submit/SMRSTR,2313,18.3,https://www.codechef.com/status/SMRSTR,beginner
17,Tweedle Dee and Tweedle Dum ,https://www.codechef.com/problems/TWEED,https://www.codechef.com/submit/TWEED,2314,41.08,https://www.codechef.com/status/TWEED,beginner
18,Knight Chess,https://www.codechef.com/problems/KCHESS,https://www.codechef.com/submit/KCHESS,2314,48.35,https://www.codechef.com/status/KCHESS,beginner
19,When to take medicine,https://www.codechef.com/problems/MEDIC,https://www.codechef.com/submit/MEDIC,2314,27.9,https://www.codechef.com/status/MEDIC,beginner
20,D   Triangle Count,https://www.codechef.com/problems/ZUBTRCNT,https://www.codechef.com/submit/ZUBTRCNT,2315,31.25,https://www.codechef.com/status/ZUBTRCNT,beginner
21,Event,https://www.codechef.com/problems/EVENT,https://www.codechef.com/submit/EVENT,2315,21.68,https://www.codechef.com/status/EVENT,beginner
22,Strike or Spare,https://www.codechef.com/problems/PINS,https://www.codechef.com/submit/PINS,2316,27.35,https://www.codechef.com/status/PINS,beginner
23,Ada King,https://www.codechef.com/problems/ADAKING,https://www.codechef.com/submit/ADAKING,2316,51.07,https://www.codechef.com/status/ADAKING,beginner
24,Survive in ChocoLand,https://www.codechef.com/problems/SURVIVE,https://www.codechef.com/submit/SURVIVE,2318,26.43,https://www.codechef.com/status/SURVIVE,beginner
25,J   Reached Safely Or Not,https://www.codechef.com/problems/ZUBREACH,https://www.codechef.com/submit/ZUBREACH,2319,31.22,https://www.codechef.com/status/ZUBREACH,beginner
26,Ada and the Staircase,https://www.codechef.com/problems/ADASTAIR,https://www.codechef.com/submit/ADASTAIR,2320,31.16,https://www.codechef.com/status/ADASTAIR,beginner
