,0,1,2,3,4
1,Arrays,Hash Table,,,
2,Linked Lists,Math,,,
3,Hash Table,Two Pointers,String,Sliding Window,
4,Arrays,Binary Search,Divide and Conquer,,
5,String,Dynamic Programming,,,
6,String,,,,
7,Math,,,,
8,Math,String,,,
9,Math,,,,
10,String,Dynamic Programming,Backtracking,,
11,Arrays,Two Pointers,,,
12,Math,String,,,
13,Math,String,,,
14,String,,,,
15,Arrays,Two Pointers,,,
16,Arrays,Two Pointers,,,
17,String,Backtracking,,,
18,Arrays,Hash Table,Two Pointers,,
19,Linked Lists,Two Pointers,,,
20,String,Stack,,,
21,Linked Lists,,,,
22,String,Backtracking,,,
23,Linked Lists,Divide and Conquer,Heap,,
24,Linked Lists,,,,
25,Linked Lists,,,,
26,Arrays,Two Pointers,,,
27,Arrays,Two Pointers,,,
28,Two Pointers,String,,,
29,Math,Binary Search,,,
30,Hash Table,Two Pointers,String,,
31,Arrays,,,,
32,String,Dynamic Programming,,,
33,Arrays,Binary Search,,,
34,Arrays,Binary Search,,,
35,Arrays,Binary Search,,,
36,Hash Table,,,,
37,Hash Table,Backtracking,,,
38,String,,,,
39,Arrays,Backtracking,,,
40,Arrays,Backtracking,,,
41,Arrays,,,,
42,Arrays,Two Pointers,Stack,,
43,Math,String,,,
44,String,Dynamic Programming,Backtracking,Greedy,
45,Arrays,Greedy,,,
46,Backtracking,,,,
47,Backtracking,,,,
48,Arrays,,,,
49,Hash Table,String,,,
50,Math,Binary Search,,,
51,Backtracking,,,,
52,Backtracking,,,,
53,Arrays,Divide and Conquer,Dynamic Programming,,
54,Arrays,,,,
55,Arrays,Greedy,,,
56,Arrays,Sort,,,
57,Arrays,Sort,,,
58,String,,,,
59,Arrays,,,,
60,Math,Backtracking,,,
61,Linked Lists,Two Pointers,,,
62,Arrays,Dynamic Programming,,,
63,Arrays,Dynamic Programming,,,
64,Arrays,Dynamic Programming,,,
65,Math,String,,,
66,Arrays,,,,
67,Math,String,,,
68,String,,,,
69,Math,Binary Search,,,
70,Dynamic Programming,,,,
71,String,Stack,,,
72,String,Dynamic Programming,,,
73,Arrays,,,,
74,Arrays,Binary Search,,,
75,Arrays,Two Pointers,Sort,,
76,Hash Table,Two Pointers,String,Sliding Window,
77,Backtracking,,,,
78,Arrays,Backtracking,Bit Manipulation,,
79,Arrays,Backtracking,,,
80,Arrays,Two Pointers,,,
81,Arrays,Binary Search,,,
82,Linked Lists,,,,
83,Linked Lists,,,,
84,Arrays,Stack,,,
85,Arrays,Hash Table,Dynamic Programming,Stack,
86,Linked Lists,Two Pointers,,,
87,String,Dynamic Programming,,,
88,Arrays,Two Pointers,,,
89,Backtracking,,,,
90,Arrays,Backtracking,,,
91,String,Dynamic Programming,,,
92,Linked Lists,,,,
93,String,Backtracking,,,
94,Hash Table,Stack,Tree,,
95,Dynamic Programming,Tree,,,
96,Dynamic Programming,Tree,,,
97,String,Dynamic Programming,,,
98,Tree,Depth First Search,,,
99,Tree,Depth First Search,,,
100,Tree,Depth First Search,,,
101,Tree,Depth First Search,Breadth First Search,,
102,Tree,Breadth First Search,,,
103,Stack,Tree,Breadth First Search,,
104,Tree,Depth First Search,,,
105,Arrays,Tree,Depth First Search,,
106,Arrays,Tree,Depth First Search,,
107,Tree,Breadth First Search,,,
108,Tree,Depth First Search,,,
109,Linked Lists,Depth First Search,,,
110,Tree,Depth First Search,,,
111,Tree,Depth First Search,Breadth First Search,,
112,Tree,Depth First Search,,,
113,Tree,Depth First Search,,,
114,Tree,Depth First Search,,,
115,String,Dynamic Programming,,,
116,Tree,Depth First Search,Breadth First Search,,
117,Tree,Depth First Search,,,
118,Arrays,,,,
119,Arrays,,,,
120,Arrays,Dynamic Programming,,,
121,Arrays,Dynamic Programming,,,
122,Arrays,Greedy,,,
123,Arrays,Dynamic Programming,,,
124,Tree,Depth First Search,,,
125,Two Pointers,String,,,
126,Arrays,String,Backtracking,Breadth First Search,
127,Breadth First Search,,,,
128,Arrays,Union Find,,,
129,Tree,Depth First Search,,,
130,Depth First Search,Breadth First Search,Union Find,,
131,Backtracking,,,,
132,Dynamic Programming,,,,
133,Depth First Search,Breadth First Search,Graph,,
134,Greedy,,,,
135,Greedy,,,,
136,Hash Table,Bit Manipulation,,,
137,Bit Manipulation,,,,
138,Hash Table,Linked Lists,,,
139,Dynamic Programming,,,,
140,Dynamic Programming,Backtracking,,,
141,Linked Lists,Two Pointers,,,
142,Linked Lists,Two Pointers,,,
143,Linked Lists,,,,
144,Stack,Tree,,,
145,Stack,Tree,,,
146,Design,,,,
147,Linked Lists,Sort,,,
148,Linked Lists,Sort,,,
149,Hash Table,Math,,,
150,Stack,,,,
151,String,,,,
152,Arrays,Dynamic Programming,,,
153,Arrays,Binary Search,,,
154,Arrays,Binary Search,,,
155,Stack,Design,,,
156,Tree,,,,
157,String,,,,
158,String,,,,
159,Hash Table,Two Pointers,String,Sliding Window,
160,Linked Lists,,,,
161,String,,,,
162,Arrays,Binary Search,,,
163,Arrays,,,,
164,Sort,,,,
165,String,,,,
166,Hash Table,Math,,,
167,Arrays,Two Pointers,Binary Search,,
168,Math,,,,
169,Arrays,Divide and Conquer,Bit Manipulation,,
170,Hash Table,Design,,,
